false_positive_rate,true_positive_rate,partition,feature_set
0.124383947,0.657303371,train,full features
0.125088008,0.657303371,train,full features
0.125088008,0.657735523,train,full features
0.125322694,0.657735523,train,full features
0.125322694,0.658167675,train,full features
0.125557381,0.658167675,train,full features
0.125557381,0.659031979,train,full features
0.126965501,0.659031979,train,full features
0.126965501,0.659464131,train,full features
0.127669561,0.659464131,train,full features
0.127669561,0.66119274,train,full features
0.127904248,0.66119274,train,full features
0.127904248,0.661624892,train,full features
0.128373621,0.661624892,train,full features
0.128373621,0.662057044,train,full features
0.129312368,0.662057044,train,full features
0.129312368,0.662489196,train,full features
0.129781741,0.662489196,train,full features
0.129781741,0.6633535,train,full features
0.130955175,0.6633535,train,full features
0.130955175,0.663785653,train,full features
0.131659235,0.663785653,train,full features
0.131659235,0.664649957,train,full features
0.132128608,0.664649957,train,full features
0.132128608,0.665514261,train,full features
0.133067355,0.665514261,train,full features
0.133067355,0.666810717,train,full features
0.133302042,0.666810717,train,full features
0.133302042,0.668107174,train,full features
0.133536728,0.668107174,train,full features
0.133536728,0.668539326,train,full features
0.134475475,0.668539326,train,full features
0.134475475,0.66940363,train,full features
0.134944849,0.66940363,train,full features
0.134944849,0.669835782,train,full features
0.135179535,0.669835782,train,full features
0.135179535,0.670267934,train,full features
0.136118282,0.670267934,train,full features
0.136118282,0.671564391,train,full features
0.136822342,0.671564391,train,full features
0.136822342,0.673292999,train,full features
0.137526402,0.673292999,train,full features
0.137526402,0.673725151,train,full features
0.138230462,0.673725151,train,full features
0.138230462,0.674157303,train,full features
0.138699836,0.674157303,train,full features
0.138699836,0.674589455,train,full features
0.138934522,0.674589455,train,full features
0.138934522,0.67545376,train,full features
0.139169209,0.67545376,train,full features
0.139169209,0.675885912,train,full features
0.139403896,0.675885912,train,full features
0.139403896,0.677182368,train,full features
0.139638582,0.677182368,train,full features
0.139638582,0.679775281,train,full features
0.139873269,0.679775281,train,full features
0.139873269,0.681071737,train,full features
0.140342643,0.681071737,train,full features
0.140342643,0.681936041,train,full features
0.140577329,0.681936041,train,full features
0.140577329,0.684096802,train,full features
0.140812016,0.684096802,train,full features
0.140812016,0.684528954,train,full features
0.141750763,0.684528954,train,full features
0.141750763,0.684961106,train,full features
0.141985449,0.684961106,train,full features
0.141985449,0.685825411,train,full features
0.142220136,0.685825411,train,full features
0.142220136,0.686257563,train,full features
0.142454823,0.686257563,train,full features
0.142454823,0.687121867,train,full features
0.14268951,0.687121867,train,full features
0.14268951,0.687554019,train,full features
0.143628256,0.687554019,train,full features
0.143628256,0.687986171,train,full features
0.14409763,0.687986171,train,full features
0.14409763,0.689282627,train,full features
0.145271063,0.689282627,train,full features
